"Path","HasAppShortcutScope","HasAppPageHeader","HasMaybePop"
"lib\features\certificaciones\presentation\screens\editar_certificacion_screen.dart","True","False","True"
"lib\features\certificaciones\presentation\screens\nueva_certificacion_screen.dart","True","False","True"
"lib\features\clientes\presentation\screens\cliente_detail_screen.dart","False","True","False"
"lib\features\clientes\presentation\screens\clientes_screen.dart","True","True","True"
"lib\features\clientes\presentation\screens\editar_cliente_screen.dart","True","False","True"
"lib\features\clientes\presentation\screens\nuevo_cliente_screen.dart","True","False","True"
"lib\features\cobros\presentation\screens\cobros_screen.dart","True","True","True"
"lib\features\cobros\presentation\screens\editar_cobro_screen.dart","True","True","True"
"lib\features\cobros\presentation\screens\nuevo_cobro_screen.dart","True","False","True"
"lib\features\compras\presentation\screens\editar_compra_screen.dart","True","False","True"
"lib\features\compras\presentation\screens\nueva_compra_screen.dart","True","False","True"
"lib\features\configuracion\presentation\screens\empresa_configuracion_screen.dart","True","False","True"
"lib\features\dashboard\presentation\screens\dashboard_screen.dart","False","False","False"
"lib\features\documentos\presentation\screens\editar_documento_screen.dart","True","False","True"
"lib\features\documentos\presentation\screens\nuevo_documento_screen.dart","True","False","True"
"lib\features\expedientes\presentation\screens\datos_generales_screen.dart","False","False","False"
"lib\features\expedientes\presentation\screens\expediente_detail_screen.dart","True","True","True"
"lib\features\expedientes\presentation\screens\expedientes_screen.dart","True","True","True"
"lib\features\expedientes\presentation\screens\nuevo_expediente_screen.dart","True","False","True"
"lib\features\facturas\presentation\screens\editar_factura_screen.dart","True","True","True"
"lib\features\facturas\presentation\screens\editar_linea_factura_screen.dart","True","False","True"
"lib\features\facturas\presentation\screens\factura_pdf_preview_screen.dart","False","False","False"
"lib\features\facturas\presentation\screens\facturas_screen.dart","True","True","True"
"lib\features\facturas\presentation\screens\nueva_factura_screen.dart","True","False","True"
"lib\features\facturas\presentation\screens\nueva_linea_factura_screen.dart","False","False","False"
"lib\features\presupuestos\presentation\screens\editar_linea_presupuesto_screen.dart","True","False","True"
"lib\features\presupuestos\presentation\screens\nuevo_linea_presupuesto_screen.dart","False","False","False"
"lib\features\presupuestos\presentation\screens\nuevo_presupuesto_screen.dart","True","False","True"
"lib\features\presupuestos\presentation\screens\presupuesto_detail_screen.dart","False","True","False"
"lib\features\presupuestos\presentation\screens\presupuesto_pdf_preview_screen.dart","False","False","False"
"lib\features\proveedores\presentation\screens\editar_proveedor_screen.dart","True","False","True"
"lib\features\proveedores\presentation\screens\nuevo_proveedor_screen.dart","True","False","True"
"lib\features\proveedores\presentation\screens\proveedor_detail_screen.dart","False","True","False"
"lib\features\proveedores\presentation\screens\proveedores_screen.dart","False","True","False"
"lib\features\search\presentation\screens\search_screen.dart","True","False","True"
"lib\screens\home_screen.dart","False","False","False"
"lib\screens\pool_result_screen.dart","False","False","False"
"lib\screens\presupuesto_menu_screen.dart","False","True","False"
"lib\screens\presupuesto_screen.dart","False","False","False"
